,0
food_weight_g,82.01980198019803
calories (kCal),185.36668487535644
fat (g),8.878025513633663
carbohydrates (g),12.213920780029701
protein (g),14.187652364811884
calcium (mg),0.03292907979207921
iron (mg),0.0015738844554455448
magnesium (mg),0.0223269306930693
potassium (mg),0.18568729179207927
sodium (mg),0.17791039142574258
vitamin_d (µg),7.778217821782177e-08
vitamin_b12 (µg),8.55129702970297e-07
